slug,title,mtime,n_annotations,n_formalized,n_partial,n_not_formalized,formalization_rate,coverage_rate,n_definition,n_proposition,n_theorem,n_example,n_distinct_modules
Lowenheim-Skolem_theorem,Lowenheim-Skolem_theorem,2026-05-22T03:02:56+00:00,5,0,1,4,0.0,0.2,0,0,0,0,1
Lp_space,Lp_space,2026-05-22T03:02:56+00:00,70,6,13,51,0.086,0.271,0,0,0,0,2
Markov_chain,Markov_chain,2026-05-22T03:02:56+00:00,4,0,2,2,0.0,0.5,0,0,0,0,2
Mathematical_induction,Mathematical_induction,2026-05-22T03:02:56+00:00,15,2,3,10,0.133,0.333,0,0,0,0,1
Matrix_mathematics,Matrix_mathematics,2026-05-22T03:02:56+00:00,53,3,11,39,0.057,0.264,0,0,0,0,3
Matrix_multiplication,Matrix_multiplication,2026-05-22T03:02:56+00:00,8,1,3,4,0.125,0.5,0,0,0,0,1
Metric_space,Metric_space,2026-05-22T03:02:56+00:00,31,2,3,26,0.065,0.161,0,0,0,0,2
Metric_tensor,Metric_tensor,2026-05-22T03:02:56+00:00,6,2,2,2,0.333,0.667,0,0,0,0,2
Mobius_transformation,Mobius_transformation,2026-05-22T03:02:56+00:00,78,1,13,64,0.013,0.179,0,0,0,0,2
Negative_number,Negative_number,2026-05-22T03:02:56+00:00,1,0,1,0,0.0,1.0,0,0,0,0,1
Normal_distribution,Normal_distribution,2026-05-22T03:02:56+00:00,96,4,8,84,0.042,0.125,0,0,0,0,1
Number,Number,2026-05-22T03:02:56+00:00,1,0,0,1,0.0,0.0,0,0,0,0,0
Ordinary_differential_equation,Ordinary_differential_equation,2026-05-22T03:02:56+00:00,10,0,2,8,0.0,0.2,0,0,0,0,1
Pi,Pi,2026-05-22T03:02:57+00:00,69,0,2,67,0.0,0.029,0,0,0,0,1
Prime_number,Prime_number,2026-05-22T03:02:57+00:00,1,0,0,1,0.0,0.0,0,0,0,0,0
Probability,Probability,2026-05-22T03:02:57+00:00,8,0,0,8,0.0,0.0,0,0,0,0,0
Product_mathematics,Product_mathematics,2026-05-22T03:02:57+00:00,1,1,0,0,1.0,1.0,0,0,0,0,1
Representation_theory,Representation_theory,2026-05-22T03:02:57+00:00,11,1,5,5,0.091,0.545,0,0,0,0,2
Riemann_hypothesis,Riemann_hypothesis,2026-05-22T03:02:57+00:00,17,0,2,15,0.0,0.118,0,0,0,0,1
Ring_mathematics,Ring_mathematics,2026-05-22T03:02:57+00:00,7,0,0,7,0.0,0.0,0,0,0,0,0
Set_mathematics,Set_mathematics,2026-05-22T03:02:57+00:00,30,2,2,26,0.067,0.133,0,0,0,0,1
Sheaf_mathematics,Sheaf_mathematics,2026-05-22T03:02:57+00:00,29,2,4,23,0.069,0.207,0,0,0,0,2
Sphere,Sphere,2026-05-22T03:02:57+00:00,1,0,0,1,0.0,0.0,0,0,0,0,0
Square_root,Square_root,2026-05-22T03:02:57+00:00,24,1,0,23,0.042,0.042,0,0,0,0,1
Standard_deviation,Standard_deviation,2026-05-22T03:02:57+00:00,53,0,15,38,0.0,0.283,0,0,0,0,1
Stochastic_process,Stochastic_process,2026-05-22T03:02:57+00:00,3,0,0,3,0.0,0.0,0,0,0,0,0
Subtraction,Subtraction,2026-05-22T03:02:58+00:00,1,0,0,1,0.0,0.0,0,0,0,0,0
