Affine.Triangle.orthocenter_mem_altitude	Affine.Simplex.altitude
Affine.Triangle.orthocenter_mem_altitude	Affine.Triangle.orthocenter
AffineBasis	AddCommGroup
AffineBasis	AddTorsor
AffineBasis	Ring
AffineBasis	Module
AffineEquiv	Ring
AffineEquiv	AddCommGroup
AffineEquiv	Module
AffineEquiv	AddTorsor
AffineIsometryEquiv	SeminormedAddCommGroup
AffineIsometryEquiv	NormedSpace
AffineIsometryEquiv	PseudoMetricSpace
AffineIsometryEquiv	NormedAddTorsor
AffineMap	Ring
AffineMap	AddCommGroup
AffineMap	Module
AffineMap	AddTorsor
AffineMap.lineMap	Ring
AffineMap.lineMap	AddCommGroup
AffineMap.lineMap	Module
AffineMap.lineMap	AddTorsor
AffineMap.lineMap	AffineMap
AffineMap.lineMap	addGroupIsAddTorsor
AffineMap.lineMap	LinearMap.id
AffineMap.lineMap_apply	Ring
AffineMap.lineMap_apply	AddCommGroup
AffineMap.lineMap_apply	Module
AffineMap.lineMap_apply	AddTorsor
AffineMap.lineMap_apply	AffineMap
AffineMap.lineMap_apply	addGroupIsAddTorsor
AffineMap.lineMap_apply	AffineMap.lineMap
AffineSubspace	Ring
AffineSubspace	AddCommGroup
AffineSubspace	Module
AffineSubspace	AddTorsor
AffineSubspace.Parallel	Ring
AffineSubspace.Parallel	AddCommGroup
AffineSubspace.Parallel	Module
AffineSubspace.Parallel	AddTorsor
AffineSubspace.Parallel	AffineSubspace
AffineSubspace.Parallel.equivalence	Ring
AffineSubspace.Parallel.equivalence	AddCommGroup
AffineSubspace.Parallel.equivalence	Module
AffineSubspace.Parallel.equivalence	AddTorsor
AffineSubspace.Parallel.equivalence	AffineSubspace
AffineSubspace.Parallel.equivalence	AffineSubspace.Parallel
AffineSubspace.Parallel.symm	Ring
AffineSubspace.Parallel.symm	AddCommGroup
AffineSubspace.Parallel.symm	Module
AffineSubspace.Parallel.symm	AddTorsor
AffineSubspace.Parallel.symm	AffineSubspace
AffineSubspace.Parallel.symm	AffineSubspace.Parallel
AffineSubspace.Parallel.trans	Ring
AffineSubspace.Parallel.trans	AddCommGroup
AffineSubspace.Parallel.trans	Module
AffineSubspace.Parallel.trans	AddTorsor
AffineSubspace.Parallel.trans	AffineSubspace
AffineSubspace.Parallel.trans	AffineSubspace.Parallel
AlgHom	CommSemiring
AlgHom	Semiring
AlgHom	Algebra
AlgHom.End	CommSemiring
AlgHom.End	Semiring
AlgHom.End	Algebra
AlgHom.End	Monoid
AlgHom.End	AlgHom
Algebra	CommSemiring
Algebra	Semiring
Algebra.Etale	CommRing
Algebra.Etale	Algebra
Algebra.FormallyEtale	CommRing
Algebra.FormallyEtale	Algebra
Algebra.GrothendieckGroup	CommMonoid
Algebra.IsAlgebraic	CommRing
Algebra.IsAlgebraic	Ring
Algebra.IsAlgebraic	Algebra
Algebra.Transcendental	CommRing
Algebra.Transcendental	Ring
Algebra.Transcendental	Algebra
Algebra.discr	CommRing
Algebra.discr	Algebra
Algebra.discr	Fintype
Algebra.discr	Matrix.det
AlgebraicClosure	Field
AlgebraicClosure	MvPolynomial
AlgebraicClosure	Field.toSemifield
AlgebraicClosure	Ideal
AlgebraicClosure	Nat
AlgebraicGeometry.AffineScheme	Opposite
AlgebraicGeometry.AffineScheme	CommRingCat
AlgebraicGeometry.AffineScheme	AlgebraicGeometry.Scheme
AlgebraicGeometry.Etale	AlgebraicGeometry.Scheme
AlgebraicGeometry.Etale	Quiver.Hom
AlgebraicGeometry.Etale.iff_smoothOfRelativeDimension_zero	AlgebraicGeometry.Scheme
AlgebraicGeometry.Etale.iff_smoothOfRelativeDimension_zero	Quiver.Hom
AlgebraicGeometry.Etale.iff_smoothOfRelativeDimension_zero	AlgebraicGeometry.Etale
AlgebraicGeometry.Etale.iff_smoothOfRelativeDimension_zero	Nat
AlgebraicGeometry.IsAffine	AlgebraicGeometry.Scheme
AlgebraicGeometry.IsIntegral	AlgebraicGeometry.Scheme
AlgebraicGeometry.Scheme.EllAdicCohomology	AlgebraicGeometry.Scheme
AlgebraicGeometry.Scheme.EllAdicCohomology	Nat
AlgebraicGeometry.Scheme.EllAdicCohomology	Nat.Prime
